"cohort_month","month_index","active_customers","cohort_customers","retention_rate"
2018-01-01 00:00:00.000,3.0,20,6909,0.0029
2018-01-01 00:00:00.000,4.0,20,6909,0.0029
2018-01-01 00:00:00.000,5.0,11,6909,0.0016
2018-01-01 00:00:00.000,6.0,12,6909,0.0017
2018-02-01 00:00:00.000,0.0,6344,6344,1.0000
2018-02-01 00:00:00.000,1.0,23,6344,0.0036
2018-02-01 00:00:00.000,2.0,25,6344,0.0039
2018-02-01 00:00:00.000,3.0,19,6344,0.0030
2018-02-01 00:00:00.000,4.0,17,6344,0.0027
2018-02-01 00:00:00.000,5.0,14,6344,0.0022
2018-02-01 00:00:00.000,6.0,13,6344,0.0020
2018-03-01 00:00:00.000,0.0,6903,6903,1.0000
2018-03-01 00:00:00.000,1.0,28,6903,0.0041
2018-03-01 00:00:00.000,2.0,21,6903,0.0030
2018-03-01 00:00:00.000,3.0,20,6903,0.0029
2018-03-01 00:00:00.000,4.0,9,6903,0.0013
2018-03-01 00:00:00.000,5.0,8,6903,0.0012
2018-04-01 00:00:00.000,0.0,6678,6678,1.0000
2018-04-01 00:00:00.000,1.0,39,6678,0.0058
2018-04-01 00:00:00.000,2.0,21,6678,0.0031
2018-04-01 00:00:00.000,3.0,16,6678,0.0024
2018-04-01 00:00:00.000,4.0,9,6678,0.0013
2018-05-01 00:00:00.000,0.0,6556,6556,1.0000
2018-05-01 00:00:00.000,1.0,34,6556,0.0052
2018-05-01 00:00:00.000,2.0,17,6556,0.0026
2018-05-01 00:00:00.000,3.0,13,6556,0.0020
2018-06-01 00:00:00.000,0.0,5917,5917,1.0000
2018-06-01 00:00:00.000,1.0,25,5917,0.0042
2018-06-01 00:00:00.000,2.0,16,5917,0.0027
2018-07-01 00:00:00.000,0.0,6004,6004,1.0000
2018-07-01 00:00:00.000,1.0,31,6004,0.0052
2018-08-01 00:00:00.000,0.0,6187,6187,1.0000
2018-08-01 00:00:00.000,1.0,1,6187,0.0002
